PPU;Fecha;a14;a15;a16;a17;a18;𝑰𝑪𝑨𝑻𝒆𝒓𝒎𝒊𝒏𝒂𝒍;Terminal ;Tipo bus;Marca
SJPB20;14-05-2024;1;1;1;1;1; 5,00 ;STA MARTA;A2;VOLVO
SHCY58;14-05-2024;1;1;1;1;1; 5,00 ;STA MARTA;A2;VOLVO
SJPD99;14-05-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;C2;VOLVO
SJPC66;14-05-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;C2;VOLVO
LXDJ27;14-05-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;B2;SCANIA
SHCY62;15-05-2024;1;1;1;1;1; 5,00 ;CONDELL;A2;VOLVO
SHCY38;15-05-2024;1;1;1;1;1; 5,00 ;CONDELL;A2;VOLVO
SJTD64;15-05-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
SJTD63;15-05-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
SKHF84;15-05-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
SKHF92;15-05-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
SKHG14;15-05-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
FLXS43;16-05-2024;1;1;1;1;1; 5,00 ;STA MARTA;BPAL;MERCEDES BENZ
FLXS54;16-05-2024;1;1;1;1;1; 5,00 ;STA MARTA;BPAL;MERCEDES BENZ
FLXS59;16-05-2024;1;1;1;1;1; 5,00 ;STA MARTA;BPAL;MERCEDES BENZ
FLXP85;16-05-2024;1;1;1;1;1; 5,00 ;STA MARTA;BPAL;MERCEDES BENZ
LXDH86;16-05-2024;1;1;1;1;1; 5,00 ;STA MARTA;B2;SCANIA
LXDH93;16-05-2024;1;1;1;1;1; 5,00 ;STA MARTA;B2;SCANIA
LXDH99;16-05-2024;1;1;1;1;1; 5,00 ;STA MARTA;B2;SCANIA
LDSW88;23-05-2024;1;1;1;1;1; 5,00 ;CONDELL;C2;MERCEDES BENZ
LDJV44;23-05-2024;1;1;1;1;1; 5,00 ;CONDELL;B2;MERCEDES BENZ
SKHF49;23-05-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
SKHG40;23-05-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
LFGW31;23-05-2024;1;1;1;1;1; 5,00 ;CONDELL;C2;MERCEDES BENZ
LDJP72;23-05-2024;1;1;1;1;1; 5,00 ;CONDELL;B2;MERCEDES BENZ
STHD35;23-05-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
SHCY50;23-05-2024;1;1;1;1;1; 5,00 ;EL RETIRO;A2;VOLVO
SJPC45;23-05-2024;1;1;1;1;1; 5,00 ;EL RETIRO;C2;VOLVO
SHCY46;23-05-2024;1;1;1;1;1; 5,00 ;EL RETIRO;A2;VOLVO
SHXG34;23-05-2024;1;1;1;1;1; 5,00 ;EL RETIRO;C2;VOLVO
SHCY32;23-05-2024;1;1;1;1;1; 5,00 ;EL RETIRO;A2;VOLVO
SPZX34;23-05-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
SJPD95;23-05-2024;1;1;1;1;1; 5,00 ;EL RETIRO;C2;VOLVO
FLXS45;03-06-2024;1;1;1;1;1; 5,00 ;STA MARTA;BPAL;MERCEDES BENZ
SHCY58;03-06-2024;1;1;1;1;1; 5,00 ;STA MARTA;A2;VOLVO
FLXS44;03-06-2024;1;1;1;1;1; 5,00 ;STA MARTA;BPAL;MERCEDES BENZ
FLXS55;03-06-2024;1;1;1;1;1; 5,00 ;STA MARTA;BPAL;MERCEDES BENZ
