;;;;SEM 44;;;SEM 45;;;;;;;SEM 46;;;;;;;SEM 47;;;;;;;SEM 48;;;;;;;SEM 49;;;;;;;SEM 50;;;;;;;SEM 51;;;;;;;SEM 52;;;;;;;;
Nov.;INTERNO;INTERNO;TERMINAL;01-nov;02-nov;03-nov;04-nov;05-nov;06-nov;07-nov;08-nov;09-nov;10-nov;11-nov;12-nov;13-nov;14-nov;15-nov;16-nov;17-nov;18-nov;19-nov;20-nov;21-nov;22-nov;23-nov;24-nov;25-nov;26-nov;27-nov;28-nov;29-nov;30-nov;1-Dec;2-Dec;3-Dec;4-Dec;5-Dec;6-Dec;7-Dec;8-Dec;9-Dec;10-Dec;11-Dec;12-Dec;13-Dec;14-Dec;15-Dec;16-Dec;17-Dec;18-Dec;19-Dec;20-Dec;21-Dec;22-Dec;23-Dec;24-Dec;25-Dec;26-Dec;27-Dec;28-Dec;29-Dec;30-Dec;31-Dec
1;6140;SHXG95;PIE ANDINO;FULL;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;BARRIDO/MOPA;;BARRIDO/MOPA;;BARRIDO/MOPA;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;6144;SJPC39;PIE ANDINO;;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;;;;BARRIDO/MOPA;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;6145;SJPC40;PIE ANDINO;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;6146;SJPC42;PIE ANDINO;;;BARRIDO/MOPA;BARRIDO/MOPA;;;EXTERNO/EXPRESS;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;6147;SJPC43;PIE ANDINO;;;;;;BARRIDO/MOPA;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;6148;SJPC75;PIE ANDINO;EXTERNO/EXPRESS;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;6149;SJPD87;PIE ANDINO;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;;EXTERNO/EXPRESS;;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;6150;SJPD98;PIE ANDINO;;;;;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;;BARRIDO/MOPA;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;6151;SJPF89;PIE ANDINO;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;6152;SJPF90;PIE ANDINO;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;6154;SHCY19;PIE ANDINO;;;;;BARRIDO/MOPA;;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;6158;SHXG89;PIE ANDINO;;;;;BARRIDO/MOPA;;FULL;;;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;6159;SJPD86;PIE ANDINO;FULL;;;;;EXTERNO/EXPRESS;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;6161;TFYL48;PIE ANDINO;;;BARRIDO/MOPA;;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7026;SPZX47;PIE ANDINO;;;;;;;EXTERNO/EXPRESS;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;;BARRIDO/MOPA;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7027;SPZX48;PIE ANDINO;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7029;SPZX53;PIE ANDINO;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7030;SPZX57;PIE ANDINO;EXTERNO/EXPRESS;;;EXTERNO/EXPRESS;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7031;SPZX59;PIE ANDINO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7032;SPZX62;PIE ANDINO;EXTERNO/EXPRESS;;;EXTERNO/EXPRESS;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;FULL;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7033;SPZX63;PIE ANDINO;;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;;EXTERNO/EXPRESS;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7034;SPZX64;PIE ANDINO;EXTERNO/EXPRESS;;;BARRIDO/MOPA;;FULL;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;EXTERNO/EXPRESS;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7035;SPZX65;PIE ANDINO;;;;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;FULL;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7036;SPZX66;PIE ANDINO;;;;BARRIDO/MOPA;BARRIDO/MOPA;;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7037;SPZX67;PIE ANDINO;;;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7038;SPZX68;PIE ANDINO;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7039;SPZX69;PIE ANDINO;EXTERNO/EXPRESS;;;BARRIDO/MOPA;BARRIDO/MOPA;;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7041;SPZX71;PIE ANDINO;;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;BARRIDO/MOPA;;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7042;SPZX72;PIE ANDINO;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7043;SPZX73;PIE ANDINO;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;EXTERNO/EXPRESS;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7044;SPZX74;PIE ANDINO;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;FULL;;;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7045;SPZX75;PIE ANDINO;;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7046;SPZX76;PIE ANDINO;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;BARRIDO/MOPA;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7047;SPZX77;PIE ANDINO;;;;BARRIDO/MOPA;;;;;;;FULL;BARRIDO/MOPA;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7048;SPZX78;PIE ANDINO;EXTERNO/EXPRESS;;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7049;SPZX79;PIE ANDINO;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7050;SPZX80;PIE ANDINO;EXTERNO/EXPRESS;;;EXTERNO/EXPRESS;BARRIDO/MOPA;;EXTERNO/EXPRESS;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7051;SPZX81;PIE ANDINO;BARRIDO/MOPA;;;;BARRIDO/MOPA;;;EXTERNO/EXPRESS;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7052;SPZX82;PIE ANDINO;;;;EXTERNO/EXPRESS;;EXTERNO/EXPRESS;;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7053;SPZX83;PIE ANDINO;;;;;BARRIDO/MOPA;;;;;;;;EXTERNO/EXPRESS;;;;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7054;SPZX84;PIE ANDINO;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7055;SPZX85;PIE ANDINO;;;;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;BARRIDO/MOPA;;;BARRIDO/MOPA;;;;EXTERNO/EXPRESS;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7056;SPZX93;PIE ANDINO;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;;;;BARRIDO/MOPA;;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7057;SPZX95;PIE ANDINO;;;BARRIDO/MOPA;BARRIDO/MOPA;;;EXTERNO/EXPRESS;;;;;;BARRIDO/MOPA;;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7058;SPZX96;PIE ANDINO;;;;EXTERNO/EXPRESS;;;EXTERNO/EXPRESS;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7059;SPZX98;PIE ANDINO;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7060;SPZY13;PIE ANDINO;EXTERNO/EXPRESS;;;FULL;EXTERNO/EXPRESS;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7061;SPZY15;PIE ANDINO;;;;FULL;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7062;SPZY16;PIE ANDINO;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;7063;SPZY18;PIE ANDINO;BARRIDO/MOPA;;;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;FULL;FULL;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7064;SPZY23;PIE ANDINO;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;;;;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;EXTERNO/EXPRESS;;;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7065;SPZY24;PIE ANDINO;;;;;EXTERNO/EXPRESS;;EXTERNO/EXPRESS;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7066;SPZY25;PIE ANDINO;EXTERNO/EXPRESS;;;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7067;SPZY27;PIE ANDINO;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7068;SPZY28;PIE ANDINO;;;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;BARRIDO/MOPA;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7069;SPZY31;PIE ANDINO;EXTERNO/EXPRESS;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;;EXTERNO/EXPRESS;;;;;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7070;SPZY37;PIE ANDINO;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7072;SPZY42;PIE ANDINO;;;;EXTERNO/EXPRESS;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7073;SPZY43;PIE ANDINO;;;;;;;;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7074;SPZY44;PIE ANDINO;;;;;EXTERNO/EXPRESS;;;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;BARRIDO/MOPA;;;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7075;SPZY45;PIE ANDINO;EXTERNO/EXPRESS;;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7076;SPZY48;PIE ANDINO;BARRIDO/MOPA;;BARRIDO/MOPA;FULL;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7077;SPZY49;PIE ANDINO;;;BARRIDO/MOPA;BARRIDO/MOPA;;EXTERNO/EXPRESS;;EXTERNO/EXPRESS;;;BARRIDO/MOPA;BARRIDO/MOPA;;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7078;SPZY50;PIE ANDINO;;;;;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7079;SPZY51;PIE ANDINO;;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7080;SPZY53;PIE ANDINO;;;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7081;SPZY54;PIE ANDINO;;;BARRIDO/MOPA;;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7082;SPZY55;PIE ANDINO;;;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;FULL;EXTERNO/EXPRESS;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;EXTERNO/EXPRESS;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7083;SPZY56;PIE ANDINO;;;;BARRIDO/MOPA;;EXTERNO/EXPRESS;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7084;SPZY57;PIE ANDINO;;;;;EXTERNO/EXPRESS;BARRIDO/MOPA;;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7085;SPZY58;PIE ANDINO;BARRIDO/MOPA;;;;;;;;;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7086;SPZY59;PIE ANDINO;;;;FULL;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7087;SPZY60;PIE ANDINO;;;;EXTERNO/EXPRESS;BARRIDO/MOPA;;BARRIDO/MOPA;;;BARRIDO/MOPA;;;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7088;SPZY61;PIE ANDINO;;;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;EXTERNO/EXPRESS;;;BARRIDO/MOPA;BARRIDO/MOPA;;;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7089;SPZY63;PIE ANDINO;;;;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7090;SPZY64;PIE ANDINO;;;;BARRIDO/MOPA;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
